id,prospect_name,sector,city,island,email,phone,instagram,template_to_use,personalization_hook,priority
B01-020,B Zen Esthétique,institut_beaute,Pirae,Tahiti,contact@bzenesthetique.com,+689 87 74 84 01,,02-bien-etre-premium,"Brenda — depuis 2015, Sothys authorized",P1
B01-021,Beauty Success Institut,institut_beaute,Papeete,Tahiti,tahitibeautysuccess@gmail.com,+689 40 50 85 85,beautysuccesstahiti,02-bien-etre-premium,"Centre Vaima — marque internationale + MAC",P1
B01-022,O'Beauty Tahiti,institut_beaute,Papeete,Tahiti,obeautytahiti@gmail.com,+689 87 75 97 50,,02-bien-etre-premium,"Quartier du Commerce face Vaiete",P2
B01-023,Soleil Sucré Tahiti,institut_beaute,Punaauia,Tahiti,soleilsucredetahiti@mail.pf,+689 40 83 58 35,,02-bien-etre-premium,"Centre Lotus — massage, minceur, ongles",P2
B01-024,Symbio's Salon & Institut,institut_beaute,Papeete,Tahiti,symbios@hotmail.fr,+689 40 45 07 12,symbios.tahiti,02-bien-etre-premium,"33 bis Av Clémenceau — salon coiffure + institut",P1
B01-025,Cabinet Sages-Femmes Aua'e,sage_femme,Faa'a,Tahiti,sagefemmefaaa@gmail.com,+689 87 74 04 34,,03-sante-liberal,"Caroline Rigollet + Amandine Virag — Centre Aua'e face Hilton",P1
B01-026,Cabinet Amel Kebdani Kiné,kine,Papeete,Tahiti,amelkebdani.mk@gmail.com,+689 87 78 47 33,,03-sante-liberal,"Foyer Jeunes Filles 4e étage — Lun-Sam 7-19h",P1
B01-027,Manon et Quentin Ostéopathe,osteopathe,Papeete,Tahiti,mq.osteopathie@gmail.com,+689 89 60 32 55,MetQosteoPPT,03-sante-liberal,"2 praticiens — Immeuble Te Ava-Paofai",P1
B01-028,WeSport Tamanu Coach,coach_sportif,Punaauia,Tahiti,wesporttamanu@gmail.com,+689 89 42 77 77,,02-bien-etre-premium,"Henere Barff — Bas Centre Tamanu 1er étage — Lun-Ven 6-20h",P1
B01-029,My Nails Tahiti,onglerie,Papeete,Tahiti,mynailstahiti@gmail.com,+689 88 81 99 65,mynailstahiti,01-beaute-body,"Au-dessus pharmacie Mama'o",P2
B01-030,Un Coiffeur Barbier à Tahiti,barber,Papeete,Tahiti,uncoiffeurbarbieratahiti@gmail.com,+689 89 56 21 98,uncoiffeurbarbieratahiti,01-beaute-body,"6 passage Cardella — Mar-Sam",P2
